indicator_id,geography_id,outer_held_year,selected_penalty,hierarchical_slope_per_year
mean_years_schooling,idn.13.1371,2025,0.01,0.052567457709230304
mean_years_schooling,idn.13.1372,2025,0.01,0.07401019336018304
mean_years_schooling,idn.13.1373,2025,0.01,0.10588444084332178
mean_years_schooling,idn.13.1374,2025,0.01,0.10526889396410286
mean_years_schooling,idn.13.1375,2025,0.01,0.06968255824071748
mean_years_schooling,idn.13.1376,2025,0.01,0.06054313572890764
mean_years_schooling,idn.13.1377,2025,0.01,0.11151382291380388
labor_force_participation,idn.13.1301,2018,1.0,0.20603570917320474
labor_force_participation,idn.13.1302,2018,1.0,0.20320706003449387
labor_force_participation,idn.13.1303,2018,1.0,0.9849296348305032
labor_force_participation,idn.13.1304,2018,1.0,0.47192872821219006
labor_force_participation,idn.13.1305,2018,1.0,0.5836785015576115
labor_force_participation,idn.13.1306,2018,1.0,0.42008829303539874
labor_force_participation,idn.13.1307,2018,1.0,0.11584531932733055
labor_force_participation,idn.13.1308,2018,1.0,0.3344853918567952
labor_force_participation,idn.13.1309,2018,1.0,0.3188190273962336
labor_force_participation,idn.13.1310,2018,1.0,0.9896803147942383
labor_force_participation,idn.13.1311,2018,1.0,0.6105325360091083
labor_force_participation,idn.13.1312,2018,1.0,0.21082265386948632
labor_force_participation,idn.13.1371,2018,1.0,0.7476857545041202
labor_force_participation,idn.13.1372,2018,1.0,1.1076676221378463
labor_force_participation,idn.13.1373,2018,1.0,0.695246951240296
labor_force_participation,idn.13.1374,2018,1.0,-0.12890536063640567
labor_force_participation,idn.13.1375,2018,1.0,0.5749749657461867
labor_force_participation,idn.13.1376,2018,1.0,0.4857637236790978
labor_force_participation,idn.13.1377,2018,1.0,0.9657274589465503
labor_force_participation,idn.13.1301,2019,1.0,0.8489869390817535
labor_force_participation,idn.13.1302,2019,1.0,0.3350369769892624
labor_force_participation,idn.13.1303,2019,1.0,1.127652594881604
