target_id,outer_holdout_geography_id,model_variant,selected_penalty,parameter_type,parameter_id,coefficient
unemployment_rate,idn.13.1303,primary,100,target_year_effect,2023,0.154967626544
unemployment_rate,idn.13.1303,primary,100,target_year_effect,2024,0.0696244113172
unemployment_rate,idn.13.1304,primary,100,intercept,intercept_base_2019,5.05373330687
unemployment_rate,idn.13.1304,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.243015413197
unemployment_rate,idn.13.1304,primary,100,standardized_continuous_feature,labor_force_participation,-0.436804371181
unemployment_rate,idn.13.1304,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.339456877927
unemployment_rate,idn.13.1304,primary,100,standardized_continuous_feature,mean_years_schooling,0.215769254064
unemployment_rate,idn.13.1304,primary,100,standardized_continuous_feature,rice_yield,-0.0256005594874
unemployment_rate,idn.13.1304,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1304,primary,100,target_year_effect,2020,1.28850822087
unemployment_rate,idn.13.1304,primary,100,target_year_effect,2021,0.671840526648
unemployment_rate,idn.13.1304,primary,100,target_year_effect,2022,0.142576923588
unemployment_rate,idn.13.1304,primary,100,target_year_effect,2023,0.141934099512
unemployment_rate,idn.13.1304,primary,100,target_year_effect,2024,0.0660737214764
unemployment_rate,idn.13.1305,primary,100,intercept,intercept_base_2019,5.07842287888
unemployment_rate,idn.13.1305,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.230459103604
unemployment_rate,idn.13.1305,primary,100,standardized_continuous_feature,labor_force_participation,-0.424676071937
unemployment_rate,idn.13.1305,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.37857210391
unemployment_rate,idn.13.1305,primary,100,standardized_continuous_feature,mean_years_schooling,0.207083083624
unemployment_rate,idn.13.1305,primary,100,standardized_continuous_feature,rice_yield,0.00542070914107
unemployment_rate,idn.13.1305,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1305,primary,100,target_year_effect,2020,1.30086667674
unemployment_rate,idn.13.1305,primary,100,target_year_effect,2021,0.599006701016
unemployment_rate,idn.13.1305,primary,100,target_year_effect,2022,0.0773240592102
unemployment_rate,idn.13.1305,primary,100,target_year_effect,2023,0.0566863909876
unemployment_rate,idn.13.1305,primary,100,target_year_effect,2024,-0.0021988790047
unemployment_rate,idn.13.1306,primary,100,intercept,intercept_base_2019,4.93242824826
unemployment_rate,idn.13.1306,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.215096171301
unemployment_rate,idn.13.1306,primary,100,standardized_continuous_feature,labor_force_participation,-0.405523574986
unemployment_rate,idn.13.1306,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.311698626062
unemployment_rate,idn.13.1306,primary,100,standardized_continuous_feature,mean_years_schooling,0.271912903271
unemployment_rate,idn.13.1306,primary,100,standardized_continuous_feature,rice_yield,-0.0136440852142
unemployment_rate,idn.13.1306,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1306,primary,100,target_year_effect,2020,1.27324797961
unemployment_rate,idn.13.1306,primary,100,target_year_effect,2021,0.528473731344
unemployment_rate,idn.13.1306,primary,100,target_year_effect,2022,0.189222829904
unemployment_rate,idn.13.1306,primary,100,target_year_effect,2023,0.111328446768
unemployment_rate,idn.13.1306,primary,100,target_year_effect,2024,0.0653797450615
unemployment_rate,idn.13.1307,primary,100,intercept,intercept_base_2019,4.99358706164
unemployment_rate,idn.13.1307,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.230989075879
unemployment_rate,idn.13.1307,primary,100,standardized_continuous_feature,labor_force_participation,-0.432508111723
unemployment_rate,idn.13.1307,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.372170637603
unemployment_rate,idn.13.1307,primary,100,standardized_continuous_feature,mean_years_schooling,0.217526103239
unemployment_rate,idn.13.1307,primary,100,standardized_continuous_feature,rice_yield,-0.0127775895837
unemployment_rate,idn.13.1307,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1307,primary,100,target_year_effect,2020,1.39366986335
unemployment_rate,idn.13.1307,primary,100,target_year_effect,2021,0.654515593418
unemployment_rate,idn.13.1307,primary,100,target_year_effect,2022,0.218938942072
unemployment_rate,idn.13.1307,primary,100,target_year_effect,2023,0.156705757619
unemployment_rate,idn.13.1307,primary,100,target_year_effect,2024,0.122980807001
unemployment_rate,idn.13.1308,primary,100,intercept,intercept_base_2019,5.12818076519
unemployment_rate,idn.13.1308,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.231057887729
unemployment_rate,idn.13.1308,primary,100,standardized_continuous_feature,labor_force_participation,-0.407666160793
unemployment_rate,idn.13.1308,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.351994879551
unemployment_rate,idn.13.1308,primary,100,standardized_continuous_feature,mean_years_schooling,0.195460531963
unemployment_rate,idn.13.1308,primary,100,standardized_continuous_feature,rice_yield,-0.0244216869013
unemployment_rate,idn.13.1308,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1308,primary,100,target_year_effect,2020,1.34234235937
unemployment_rate,idn.13.1308,primary,100,target_year_effect,2021,0.676618517384
unemployment_rate,idn.13.1308,primary,100,target_year_effect,2022,0.14992754343
unemployment_rate,idn.13.1308,primary,100,target_year_effect,2023,0.0917440835258
unemployment_rate,idn.13.1308,primary,100,target_year_effect,2024,0.0419495718466
unemployment_rate,idn.13.1309,primary,10,intercept,intercept_base_2019,4.80106851081
unemployment_rate,idn.13.1309,primary,10,standardized_continuous_feature,agriculture_share_grdp,-0.665636186061
unemployment_rate,idn.13.1309,primary,10,standardized_continuous_feature,labor_force_participation,-0.759268689841
